"";"V1"
"1";"OS - Lag 1 - 2003-01-02 - 2003-02-01"
"2";"OS - Lag 1 - 2004-01-02 - 2004-02-01"
"3";"OS - Lag 1 - 2005-01-03 - 2005-02-02"
"4";"OS - Lag 1 - 2006-01-03 - 2006-02-02"
"5";"OS - Lag 1 - 2007-01-03 - 2007-02-02"
"6";"OS - Lag 1 - 2008-01-02 - 2008-02-01"
"7";"OS - Lag 1 - 2009-01-02 - 2009-02-01"
"8";"OS - Lag 1 - 2010-01-04 - 2010-02-03"
"9";"OS - Lag 1 - 2011-01-03 - 2011-02-02"
"10";"OS - Lag 1 - 2012-01-03 - 2012-02-02"
"11";"OS - Lag 1 - 2013-01-02 - 2013-02-01"
"12";"OS - Lag 1 - 2014-01-02 - 2014-02-01"
